type,title,sourceUrl,astroPath,file
"page","コラム","https://consilegy.com/insights/","/insights/","src/content/pages/insights.md"
"page","導入事例","https://consilegy.com/case-studies/","/case-studies/","src/content/pages/case-studies.md"
"page","RevOps再設計とは","https://consilegy.com/about-revops/","/about-revops/","src/content/pages/about-revops.md"
"page","Adoption &#038; Growth Support","https://consilegy.com/en/services-en/adoption-growth-support/","/en/services-en/adoption-growth-support/","src/content/pages/adoption-growth-support.md"
"page","HubSpot Implementation &#038; Operations Support","https://consilegy.com/en/services-en/hubspot-implementation-operations-support/","/en/services-en/hubspot-implementation-operations-support/","src/content/pages/hubspot-implementation-operations-support.md"
"page","CRM / RevOps Implementation","https://consilegy.com/en/services-en/crm-revops-implementation/","/en/services-en/crm-revops-implementation/","src/content/pages/crm-revops-implementation.md"
"page","Revenue Architecture Design","https://consilegy.com/en/services-en/revenue-architecture-design/","/en/services-en/revenue-architecture-design/","src/content/pages/revenue-architecture-design.md"
"page","HubSpot導入・運用支援","https://consilegy.com/services/hubspot-implementation-consulting/","/services/hubspot-implementation-consulting/","src/content/pages/hubspot-implementation-consulting.md"
"page","MA / CRM / SFA設計・実装支援","https://consilegy.com/services/revops-ma-crm-sfa-implementation/","/services/revops-ma-crm-sfa-implementation/","src/content/pages/revops-ma-crm-sfa-implementation.md"
"page","運用定着・改善支援","https://consilegy.com/services/operational-adoption-optimization/","/services/operational-adoption-optimization/","src/content/pages/operational-adoption-optimization.md"
"page","マーケティング戦略設計","https://consilegy.com/services/marketing-strategy-design/","/services/marketing-strategy-design/","src/content/pages/marketing-strategy-design.md"
"page","レベニューアーキテクチャ設計","https://consilegy.com/services/revenue-architecture-design/","/services/revenue-architecture-design/","src/content/pages/revenue-architecture-design.md"
"page","レベニューアーキテクチャとは","https://consilegy.com/revenue-architecture/","/revenue-architecture/","src/content/pages/revenue-architecture.md"
